company,period,metric,value,unit,source_table,page,note
寒武纪,2026H1,营业收入,59.96,亿元,合并利润表,62,合并报表
寒武纪,2026H1,归母净利润,23.11,亿元,合并利润表,63,合并报表
寒武纪,2026H1,经营活动现金流净额,3.11,亿元,合并现金流量表,66,合并报表
寒武纪,2026H1,资产总计,181.99,亿元,合并资产负债表,58,2026-06-30
寒武纪,2026H1,负债合计,46.37,亿元,合并资产负债表,59,2026-06-30
寒武纪,2026H1,归母所有者权益,135.55,亿元,合并资产负债表,59,2026-06-30
寒武纪,2026H1,净利率,38.54,%,计算,62,归母净利润/营业收入
寒武纪,2026H1,资产负债率,25.48,%,计算,58,负债合计/资产总计
寒武纪,2026H1,营业收入同比,108.13,%,主要会计数据,7,本报告期比上年同期
寒武纪,2026H1,归母净利润同比,122.61,%,主要会计数据,7,本报告期比上年同期
寒武纪,2026H1,经营现金流同比,-65.83,%,主要会计数据,7,本报告期比上年同期
寒武纪,2025H1,营业收入,28.81,亿元,合并利润表,62,合并报表
寒武纪,2025H1,归母净利润,10.38,亿元,合并利润表,63,合并报表
寒武纪,2025H1,经营活动现金流净额,9.11,亿元,合并现金流量表,66,合并报表
寒武纪,2025H1,净利率,36.04,%,计算,62,归母净利润/营业收入
寒武纪,2026H1,毛利率,55.25,%,计算,62,（营业收入-营业成本）/营业收入
寒武纪,2025H1,毛利率,55.92,%,计算,62,（营业收入-营业成本）/营业收入
